,CMC,Name,Rarity,Type_x,Card Kingdom ($),TCGPlayer ($),Face to Face ($),Cardmarket (€),Cardhoarder (Event Ticket - TIX),Salt,Decks,Inclusion,Mana Cost,Text,Stats,URL
10,3.0,Eternal Witness,U,Creature,0.99,0.9,0.73,0.58,0.05,0.26,369564.0,24.0,{1}{G}{G},"When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand.",2/1,https://scryfall.com/card/cmm/286/eternal-witness
11,1.0,Llanowar Elves,C,Creature,0.49,0.25,0.55,0.16,0.03,0.14,360179.0,23.4,{G},{T}: Add{G}.,1/1,https://scryfall.com/card/30a/206/llanowar-elves
12,2.0,Sakura-Tribe Elder,C,Creature,1.79,1.01,1.84,0.39,0.03,0.1,333920.0,21.7,{1}{G},"Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",1/1,https://scryfall.com/card/scd/208/sakura-tribe-elder
13,1.0,Elvish Mystic,C,Creature,0.59,0.25,0.73,0.3,0.03,0.17,292096.0,19.0,{G},{T}: Add{G}.,1/1,https://scryfall.com/card/cmm/284/elvish-mystic
14,1.0,Avacyn's Pilgrim,C,Creature,0.59,0.29,0.55,0.2,0.03,0.09,124336.0,17.5,{G},{T}: Add{W}.,1/1,https://scryfall.com/card/sis/48/avacyns-pilgrim
15,1.0,Noble Hierarch,R,Creature,8.99,7.12,9.58,9.16,0.38,0.17,64788.0,16.7,{G},"Exalted(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.){T}: Add{G},{W}, or{U}.",0/1,https://scryfall.com/card/2xm/177/noble-hierarch
16,1.0,Fyndhorn Elves,C,Creature,0.99,0.49,0.73,0.56,0.04,0.12,249500.0,16.2,{G},{T}: Add{G}.,1/1,https://scryfall.com/card/cmr/228/fyndhorn-elves
17,2.0,Sylvan Library,R,Enchantment,22.99,18.34,23.58,19.4,0.02,0.96,225060.0,14.6,{1}{G},"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library.",,https://scryfall.com/card/dmr/179/sylvan-library
18,3.0,Reclamation Sage,U,Creature,0.59,0.19,0.18,0.13,0.03,0.27,224593.0,14.6,{2}{G},"When Reclamation Sage enters the battlefield, you may destroy target artifact or enchantment.",2/1,https://scryfall.com/card/ltc/259/reclamation-sage
19,1.0,Worldly Tutor,R,Instant,11.99,9.97,11.05,7.82,1.85,0.81,223483.0,14.5,{G},"Search your library for a creature card, reveal it, then shuffle and put the card on top.",,https://scryfall.com/card/dmr/185/worldly-tutor
20,5.0,Return of the Wildspeaker,R,Instant,1.49,1.55,1.47,1.02,0.07,0.27,222525.0,14.4,{4}{G},Choose one —• Draw cards equal to the greatest power among non-Human creatures you control.• Non-Human creatures you control get +3/+3 until end of turn.,,https://scryfall.com/card/lcc/252/return-of-the-wildspeaker
21,4.0,Beast Whisperer,R,Creature,5.99,3.01,5.52,3.31,0.02,0.37,209763.0,13.6,{2}{G}{G},"Whenever you cast a creature spell, draw a card.",2/3,https://scryfall.com/card/p30a/26/beast-whisperer
22,1.0,Elves of Deep Shadow,C,Creature,1.49,0.88,0.73,0.87,0.03,0.11,98134.0,13.5,{G},{T}: Add{B}. Elves of Deep Shadow deals 1 damage to you.,1/1,https://scryfall.com/card/mb1/1193/elves-of-deep-shadow
23,3.0,Garruk's Uprising,U,Enchantment,0.35,0.49,0.18,0.32,0.03,0.28,207639.0,13.5,{2}{G},"When Garruk’s Uprising enters the battlefield, if you control a creature with power 4 or greater, draw a card.Creatures you control have trample.(They can deal excess combat damage to the player or planeswalker they’re attacking.)Whenever a creature with power 4 or greater enters the battlefield under your control, draw a card.",,https://scryfall.com/card/wot/53/garruks-uprising
24,1.0,Nature's Claim,C,Instant,1.49,0.64,1.1,0.63,0.03,0.22,200395.0,13.0,{G},Destroy target artifact or enchantment. Its controller gains 4 life.,,https://scryfall.com/card/tsr/364/natures-claim
25,1.0,Wild Growth,C,Enchantment,0.39,0.27,0.11,0.02,0.12,0.12,177126.0,11.5,{G},"Enchant landWhenever enchanted land is tapped for mana, its controller adds an additional{G}.",,https://scryfall.com/card/dmr/184/wild-growth
26,3.0,Harrow,C,Instant,0.99,0.33,0.73,0.19,0.03,0.11,172963.0,11.2,{2}{G},"As an additional cost to cast this spell, sacrifice a land.Search your library for up to two basic land cards, put them onto the battlefield, then shuffle.",,https://scryfall.com/card/40k/216/harrow
27,7.0,Avenger of Zendikar,M,Creature,5.49,3.32,5.52,3.75,0.33,0.75,172331.0,11.2,{5}{G}{G},"When Avenger of Zendikar enters the battlefield, create a 0/1 green Plant creature token for each land you control.Landfall— Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.",5/5,https://scryfall.com/card/j22/629/avenger-of-zendikar
28,5.0,Shamanic Revelation,R,Sorcery,1.29,0.48,1.1,0.14,0.02,0.23,170817.0,11.1,{3}{G}{G},Draw a card for each creature you control.Ferocious— You gain 4 life for each creature you control with power 4 or greater.,,https://scryfall.com/card/scd/211/shamanic-revelation
29,3.0,Bala Ged Recovery,U,Sorcery,4.49,3.61,,,0.03,0.17,168555.0,10.9,{2}{G},Return target card from your graveyard to your hand.,,https://scryfall.com/card/znr/180/bala-ged-recovery-bala-ged-sanctuary
30,3.0,Krosan Grip,U,Instant,0.99,0.56,0.73,0.27,0.03,0.37,168297.0,10.9,{2}{G},"Split second(As long as this spell is on the stack, players can’t cast spells or activate abilities that aren’t mana abilities.)Destroy target artifact or enchantment.",,https://scryfall.com/card/c21/198/krosan-grip
31,6.0,Rishkar's Expertise,R,Sorcery,1.29,1.81,1.47,1.33,0.02,0.39,166350.0,10.8,{4}{G}{G},Draw cards equal to the greatest power among creatures you control.You may cast a spell with mana value 5 or less from your hand without paying its mana cost.,,https://scryfall.com/card/lcc/254/rishkars-expertise
32,4.0,Harmonize,U,Sorcery,0.39,0.32,0.55,0.13,0.03,0.13,161316.0,10.5,{2}{G}{G},Draw three cards.,,https://scryfall.com/card/ltc/248/harmonize
33,4.0,Skyshroud Claim,C,Sorcery,1.79,1.01,1.84,1.24,0.35,0.13,161042.0,10.4,{3}{G},"Search your library for up to two Forest cards, put them onto the battlefield, then shuffle.",,https://scryfall.com/card/cmm/321/skyshroud-claim
34,1.0,Crop Rotation,U,Instant,0.79,0.79,0.73,0.67,0.83,0.3,160762.0,10.4,{G},"As an additional cost to cast this spell, sacrifice a land.Search your library for a land card, put that card onto the battlefield, then shuffle.",,https://scryfall.com/card/dmr/154/crop-rotation
35,3.0,Tireless Provisioner,U,Creature,2.29,1.32,2.2,0.66,0.02,0.49,157125.0,10.2,{2}{G},"Landfall— Whenever a land enters the battlefield under your control, create a Food token or a Treasure token.(Food is an artifact with “{2},{T}, Sacrifice this artifact: You gain 3 life.” Treasure is an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)",3/2,https://scryfall.com/card/ltc/262/tireless-provisioner
36,9.0,The Great Henge,M,Artifact,49.99,43.18,47.91,32.84,1.3,1.38,155053.0,10.1,{7}{G}{G},"This spell costs{X}less to cast, where X is the greatest power among creatures you control.{T}: Add{G}{G}. You gain 2 life.Whenever a nontoken creature enters the battlefield under your control, put a +1/+1 counter on it and draw a card.",,https://scryfall.com/card/cmm/294/the-great-henge
37,3.0,Scute Swarm,R,Creature,6.99,4.09,5.52,4.2,0.18,1.26,151099.0,9.8,{2}{G},"Landfall— Whenever a land enters the battlefield under your control, create a 1/1 green Insect creature token. If you control six or more lands, create a token that’s a copy of Scute Swarm instead.",1/1,https://scryfall.com/card/ncc/310/scute-swarm
38,5.0,Seedborn Muse,R,Creature,17.99,12.91,16.21,8.33,0.02,1.5,144965.0,9.4,{3}{G}{G},Untap all permanents you control during each other player’s untap step.,2/4,https://scryfall.com/card/cc1/4/seedborn-muse
39,3.0,"Esika, God of the Tree",M,Creature,9.99,11.4,,,0.41,0.94,20727.0,9.1,{1}{G}{G},Vigilance{T}: Add one mana of any color.Other legendary creatures you control have vigilance and “{T}: Add one mana of any color.”,1/4,https://scryfall.com/card/khm/168/esika-god-of-the-tree-the-prismatic-bridge
40,3.0,Wood Elves,C,Creature,0.69,0.21,0.55,0.16,0.01,0.11,136764.0,8.9,{2}{G},"When Wood Elves enters the battlefield, search your library for a Forest card, put that card onto the battlefield, then shuffle.",1/1,https://scryfall.com/card/ltc/263/wood-elves
41,4.0,Guardian Project,R,Enchantment,15.99,11.45,15.47,8.29,0.02,0.55,135658.0,8.8,{3}{G},"Whenever a nontoken creature enters the battlefield under your control, if it doesn’t have the same name as another creature you control or a creature card in your graveyard, draw a card.",,https://scryfall.com/card/pctb/29/guardian-project
42,2.0,Explore,C,Sorcery,0.35,0.12,0.11,0.11,0.01,0.15,132022.0,8.6,{1}{G},You may play an additional land this turn.Draw a card.,,https://scryfall.com/card/lcc/241/explore
43,2.0,Finale of Devastation,M,Sorcery,24.99,21.65,25.79,21.16,2.47,1.25,130452.0,8.5,{X}{G}{G},"Search your library and/or graveyard for a creature card with mana value X or less and put it onto the battlefield. If you search your library this way, shuffle. If X is 10 or more, creatures you control get +X/+X and gain haste until end of turn.",,https://scryfall.com/card/cmm/289/finale-of-devastation
44,2.0,Bloom Tender,R,Creature,13.99,11.49,14.0,9.55,0.06,0.4,130259.0,8.5,{1}{G},"{T}: For each color among permanents you control, add one mana of that color.",1/1,https://scryfall.com/card/2x2/138/bloom-tender
45,1.0,Arbor Elf,C,Creature,0.39,0.26,0.55,0.36,0.03,0.14,129625.0,8.4,{G},{T}: Untap target Forest.,1/1,https://scryfall.com/card/ltc/232/arbor-elf
46,5.0,Doubling Season,M,Enchantment,37.99,38.01,40.54,23.2,0.02,1.42,127940.0,8.3,{4}{G},"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instead.",,https://scryfall.com/card/wot/52/doubling-season
47,1.0,Exploration,R,Enchantment,12.99,10.93,13.26,7.87,5.78,0.61,127806.0,8.3,{G},You may play an additional land on each of your turns.,,https://scryfall.com/card/dmr/159/exploration
48,3.0,Dryad of the Ilysian Grove,R,Creature,10.99,8.51,10.31,5.89,2.1,0.59,126072.0,8.2,{2}{G},You may play an additional land on each of your turns.Lands you control are every basic land type in addition to their other types.,2/4,https://scryfall.com/card/cmm/891/dryad-of-the-ilysian-grove
49,2.0,Return to Nature,C,Instant,0.35,0.1,0.11,0.05,0.01,0.12,122835.0,8.0,{1}{G},Choose one —• Destroy target artifact.• Destroy target enchantment.• Exile target card from a graveyard.,,https://scryfall.com/card/moc/309/return-to-nature
50,2.0,Kenrith's Transformation,U,Enchantment,0.99,0.76,1.1,0.65,0.03,0.83,122065.0,7.9,{1}{G},"Enchant creatureWhen Kenrith’s Transformation enters the battlefield, draw a card.Enchanted creature loses all abilities and is a green Elk creature with base power and toughness 3/3.(It loses all other card types and creature types.)",,https://scryfall.com/card/woc/128/kenriths-transformation
51,3.0,Champion of Lambholt,R,Creature,0.99,0.43,1.47,0.34,0.02,0.57,119445.0,7.8,{1}{G}{G},"Creatures with power less than Champion of Lambholt’s power can’t block creatures you control.Whenever another creature enters the battlefield under your control, put a +1/+1 counter on Champion of Lambholt.",1/1,https://scryfall.com/card/moc/293/champion-of-lambholt
52,2.0,Lotus Cobra,R,Creature,2.79,2.85,2.94,2.32,0.02,0.53,119158.0,7.7,{1}{G},"Landfall— Whenever a land enters the battlefield under your control, add one mana of any color.",2/1,https://scryfall.com/card/znr/193/lotus-cobra
53,1.0,Veil of Summer,U,Instant,5.99,5.46,6.63,5.53,2.06,0.73,119000.0,7.7,{G},Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can’t be countered this turn. You and permanents you control gain hexproof from blue and from black until end of turn.(You and they can’t be the targets of blue or black spells or abilities your opponents control.),,https://scryfall.com/card/plist/436/veil-of-summer
54,1.0,Green Sun's Zenith,R,Sorcery,10.99,8.37,10.31,8.13,0.17,0.73,116524.0,7.6,{X}{G},"Search your library for a green creature card with mana value X or less, put it onto the battlefield, then shuffle. Shuffle Green Sun’s Zenith into its owner’s library.",,https://scryfall.com/card/2x2/150/green-suns-zenith
55,6.0,Rampaging Baloths,R,Creature,0.59,0.36,0.55,0.25,0.04,0.39,116268.0,7.5,{4}{G}{G},"TrampleLandfall— Whenever a land enters the battlefield under your control, you may create a 4/4 green Beast creature token.",6/6,https://scryfall.com/card/j22/715/rampaging-baloths
56,4.0,"Toski, Bearer of Secrets",R,Creature,10.99,8.6,11.05,10.01,0.15,0.67,115334.0,7.5,{3}{G},"This spell can’t be countered.IndestructibleToski, Bearer of Secrets attacks each combat if able.Whenever a creature you control deals combat damage to a player, draw a card.",1/1,https://scryfall.com/card/khm/197/toski-bearer-of-secrets
57,3.0,Evolution Sage,U,Creature,0.69,0.54,1.1,0.39,0.02,0.45,115100.0,7.5,{2}{G},"Landfall— Whenever a land enters the battlefield under your control, proliferate.(Choose any number of permanents and/or players, then give each another counter of each kind already there.)",3/2,https://scryfall.com/card/lcc/240/evolution-sage
58,3.0,"Azusa, Lost but Seeking",R,Creature,3.99,3.52,4.42,3.23,0.03,0.66,114254.0,7.4,{2}{G},You may play two additional lands on each of your turns.,1/2,https://scryfall.com/card/cmm/274/azusa-lost-but-seeking
59,3.0,Ramunap Excavator,R,Creature,5.49,4.2,5.52,4.16,0.02,0.39,113163.0,7.3,{2}{G},You may play lands from your graveyard.,2/3,https://scryfall.com/card/cmr/433/ramunap-excavator
60,1.0,Hardened Scales,R,Enchantment,1.29,1.25,1.47,1.49,0.03,0.38,108141.0,7.0,{G},"If one or more +1/+1 counters would be put on a creature you control, that many plus one +1/+1 counters are put on it instead.",,https://scryfall.com/card/lcc/243/hardened-scales
61,1.0,Utopia Sprawl,C,Enchantment,0.59,0.49,0.73,0.66,0.05,0.14,107595.0,7.0,{G},"Enchant ForestAs Utopia Sprawl enters the battlefield, choose a color.Whenever enchanted Forest is tapped for mana, its controller adds an additional one mana of the chosen color.",,https://scryfall.com/card/wot/63/utopia-sprawl
62,4.0,Parallel Lives,R,Enchantment,24.99,23.7,29.48,15.45,0.02,1.01,107288.0,7.0,{3}{G},"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.",,https://scryfall.com/card/wot/58/parallel-lives
63,8.0,Craterhoof Behemoth,M,Creature,21.99,22.76,19.9,25.54,0.81,1.81,104096.0,6.8,{5}{G}{G}{G},"HasteWhen Craterhoof Behemoth enters the battlefield, creatures you control gain trample and get +X/+X until end of turn, where X is the number of creatures you control.",5/5,https://scryfall.com/card/cmm/280/craterhoof-behemoth
64,3.0,Inspiring Call,U,Instant,0.35,0.37,0.18,0.21,0.02,0.18,99507.0,6.5,{2}{G},Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn.,,https://scryfall.com/card/lcc/244/inspiring-call
65,3.0,Elemental Bond,U,Enchantment,7.49,5.13,5.15,4.45,0.03,0.2,98259.0,6.4,{2}{G},"Whenever a creature with power 3 or greater enters the battlefield under your control, draw a card.",,https://scryfall.com/card/scd/180/elemental-bond
66,3.0,Beastmaster Ascension,R,Enchantment,5.49,3.56,5.15,3.66,0.02,0.56,98000.0,6.4,{2}{G},"Whenever a creature you control attacks, you may put a quest counter on Beastmaster Ascension.As long as Beastmaster Ascension has seven or more quest counters on it, creatures you control get +5/+5.",,https://scryfall.com/card/ncc/283/beastmaster-ascension
67,3.0,Chord of Calling,R,Instant,8.49,7.53,7.0,5.47,1.33,0.63,95678.0,6.2,{X}{G}{G}{G},"Convoke(Your creatures can help cast this spell. Each creature you tap while casting this spell pays for{1}or one mana of that creature’s color.)Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle.",,https://scryfall.com/card/ea3/6/chord-of-calling
68,1.0,Tamiyo's Safekeeping,C,Instant,1.79,0.77,1.84,1.34,0.02,0.24,95347.0,6.2,{G},Target permanent you control gains hexproof and indestructible until end of turn. You gain 2 life.(A permanent with hexproof and indestructible can’t be the target of spells or abilities your opponents control. Damage and effects that say “destroy” don’t destroy it.),,https://scryfall.com/card/neo/211/tamiyos-safekeeping
69,2.0,Sanctum Weaver,R,Creature,1.79,0.58,1.47,0.89,0.02,0.51,91209.0,5.9,{1}{G},"{T}: Add X mana of any one color, where X is the number of enchantments you control.",0/2,https://scryfall.com/card/woc/131/sanctum-weaver
70,4.0,Oracle of Mul Daya,R,Creature,6.99,5.44,7.0,6.07,0.02,0.4,91061.0,5.9,{3}{G},You may play an additional land on each of your turns.Play with the top card of your library revealed.You may play lands from the top of your library.,2/2,https://scryfall.com/card/2x2/154/oracle-of-mul-daya
71,4.0,Forgotten Ancient,R,Creature,0.69,0.3,0.73,0.19,0.1,0.33,90674.0,5.9,{3}{G},"Whenever a player casts a spell, you may put a +1/+1 counter on Forgotten Ancient.At the beginning of your upkeep, you may move any number of +1/+1 counters from Forgotten Ancient onto other creatures.",0/3,https://scryfall.com/card/moc/297/forgotten-ancient
72,5.0,Overwhelming Stampede,R,Sorcery,3.99,2.51,2.94,2.0,0.02,0.64,89871.0,5.8,{3}{G}{G},"Until end of turn, creatures you control gain trample and get +X/+X, where X is the greatest power among creatures you control.",,https://scryfall.com/card/ltc/254/overwhelming-stampede
73,2.0,Destiny Spinner,U,Creature,0.39,0.24,0.26,0.47,0.03,0.45,89485.0,5.8,{1}{G},"Creature and enchantment spells you control can’t be countered.{3}{G}: Target land you control becomes an X/X Elemental creature with trample and haste until end of turn, where X is the number of enchantments you control. It’s still a land.",2/3,https://scryfall.com/card/woc/123/destiny-spinner
74,3.0,Realmwalker,R,Creature,2.99,2.19,2.2,1.5,0.1,0.22,89307.0,5.8,{2}{G},"Changeling(This card is every creature type.)As Realmwalker enters the battlefield, choose a creature type.You may look at the top card of your library any time.You may cast creature spells of the chosen type from the top of your library.",2/3,https://scryfall.com/card/lcc/250/realmwalker
75,5.0,Acidic Slime,U,Creature,0.35,0.09,0.18,0.04,0.03,0.32,88534.0,5.7,{3}{G}{G},"Deathtouch(Any amount of damage this deals to a creature is enough to destroy it.)When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",2/2,https://scryfall.com/card/cmm/270/acidic-slime
76,1.0,Rancor,U,Enchantment,1.49,0.81,1.47,0.83,0.16,0.26,85985.0,5.6,{G},"Enchant creatureEnchanted creature gets +2/+0 and has trample.When Rancor is put into a graveyard from the battlefield, return Rancor to its owner’s hand.",,https://scryfall.com/card/2x2/156/rancor
77,4.0,Greater Good,R,Enchantment,6.99,5.86,6.26,4.49,0.02,0.47,85528.0,5.5,{2}{G}{G},"Sacrifice a creature: Draw cards equal to the sacrificed creature’s power, then discard three cards.",,https://scryfall.com/card/afc/160/greater-good
78,3.0,Springbloom Druid,C,Creature,0.79,0.28,0.73,0.15,0.03,0.1,84161.0,5.5,{2}{G},"When Springbloom Druid enters the battlefield, you may sacrifice a land. If you do, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.",1/1,https://scryfall.com/card/j21/642/springbloom-druid
79,4.0,Second Harvest,R,Instant,5.99,5.57,6.63,2.46,0.02,0.43,83437.0,5.4,{2}{G}{G},"For each token you control, create a token that’s a copy of that permanent.",,https://scryfall.com/card/ltc/530/second-harvest
80,2.0,Incubation Druid,R,Creature,1.49,0.66,1.1,0.59,0.02,0.22,80613.0,5.2,{1}{G},"{T}: Add one mana of any type that a land you control could produce. If Incubation Druid has a +1/+1 counter on it, add three mana of that type instead.{3}{G}{G}: Adapt 3.(If this creature has no +1/+1 counters on it, put three +1/+1 counters on it.)",0/2,https://scryfall.com/card/moc/302/incubation-druid
81,7.0,Old Gnawbone,M,Creature,27.99,22.61,25.79,19.69,0.99,1.37,80219.0,5.2,{5}{G}{G},"FlyingWhenever a creature you control deals combat damage to a player, create that many Treasure tokens.",7/7,https://scryfall.com/card/afr/197/old-gnawbone
82,3.0,Farhaven Elf,C,Creature,0.35,0.12,0.11,0.09,0.03,0.1,79306.0,5.1,{2}{G},"When Farhaven Elf enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",1/1,https://scryfall.com/card/ltc/243/farhaven-elf
83,3.0,Eldritch Evolution,R,Sorcery,4.49,4.82,5.15,5.25,0.2,0.62,79057.0,5.1,{1}{G}{G},"As an additional cost to cast this spell, sacrifice a creature.Search your library for a creature card with mana value X or less, where X is 2 plus the sacrificed creature’s mana value. Put that card onto the battlefield, then shuffle. Exile Eldritch Evolution.",,https://scryfall.com/card/sir/195/eldritch-evolution
84,3.0,Enchantress's Presence,R,Enchantment,0.49,0.24,0.26,0.29,0.02,0.49,76714.0,5.0,{2}{G},"Whenever you cast an enchantment spell, draw a card.",,https://scryfall.com/card/woc/125/enchantresss-presence
85,5.0,Unnatural Growth,R,Enchantment,2.49,2.46,2.2,1.15,0.02,0.48,76319.0,5.0,{1}{G}{G}{G}{G},"At the beginning of each combat, double the power and toughness of each creature you control until end of turn.",,https://scryfall.com/card/wot/62/unnatural-growth
86,4.0,Eidolon of Blossoms,R,Creature,0.99,0.45,1.1,0.69,0.02,0.35,75866.0,4.9,{2}{G}{G},"Constellation— Whenever Eidolon of Blossoms or another enchantment enters the battlefield under your control, draw a card.",2/2,https://scryfall.com/card/woc/124/eidolon-of-blossoms
87,3.0,Growing Rites of Itlimoc,R,Enchantment,5.99,4.4,,4.24,0.01,0.58,75694.0,4.9,{2}{G},"When Growing Rites of Itlimoc enters the battlefield, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.At the beginning of your end step, if you control four or more creatures, transform Growing Rites of Itlimoc.",,https://scryfall.com/card/lci/188/growing-rites-of-itlimoc-itlimoc-cradle-of-the-sun
88,2.0,Regrowth,U,Sorcery,0.69,0.37,0.73,0.18,0.02,0.09,75618.0,4.9,{1}{G},Return target card from your graveyard to your hand.,,https://scryfall.com/card/30a/210/regrowth
89,3.0,Tireless Tracker,R,Creature,2.99,1.81,3.68,2.41,0.02,0.28,75483.0,4.9,{2}{G},"Landfall— Whenever a land enters the battlefield under your control, investigate.(Create a Clue token. It’s an artifact with “{2}, Sacrifice this artifact: Draw a card.”)Whenever you sacrifice a Clue, put a +1/+1 counter on Tireless Tracker.",3/2,https://scryfall.com/card/moc/314/tireless-tracker
90,2.0,Scavenging Ooze,R,Creature,0.49,0.23,0.26,0.19,0.12,0.31,75422.0,4.9,{1}{G},"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.",2/2,https://scryfall.com/card/onc/112/scavenging-ooze
91,3.0,"Chatterfang, Squirrel General",M,Creature,9.49,6.81,9.58,4.76,0.13,0.87,34788.0,4.8,{2}{G},"Forestwalk(This creature can’t be blocked as long as defending player controls a Forest.)If one or more tokens would be created under your control, those tokens plus that many 1/1 green Squirrel creature tokens are created instead.{B}, Sacrifice X Squirrels: Target creature gets +X/-X until end of turn.",3/3,https://scryfall.com/card/j21/552/chatterfang-squirrel-general
92,4.0,Temur Sabertooth,U,Creature,2.29,1.35,2.2,1.11,0.03,0.51,73325.0,4.8,{2}{G}{G},"{1}{G}: You may return another creature you control to its owner’s hand. If you do, Temur Sabertooth gains indestructible until end of turn.",4/3,https://scryfall.com/card/ncc/315/temur-sabertooth
93,2.0,Fertile Ground,C,Enchantment,0.35,0.21,0.11,0.12,0.03,0.09,72997.0,4.7,{1}{G},"Enchant landWhenever enchanted land is tapped for mana, its controller adds an additional one mana of any color.",,https://scryfall.com/card/woc/126/fertile-ground
94,3.0,Circle of Dreams Druid,R,Creature,7.99,5.75,8.84,4.86,0.06,0.57,72574.0,4.7,{G}{G}{G},{T}: Add{G}for each creature you control.,2/1,https://scryfall.com/card/afr/176/circle-of-dreams-druid
95,12.0,"Ghalta, Primal Hunger",R,Creature,2.99,3.17,2.2,1.92,0.02,0.4,72336.0,4.7,{10}{G}{G},"This spell costs{X}less to cast, where X is the total power of creatures you control.Trample",12/12,https://scryfall.com/card/spg/11/ghalta-primal-hunger
96,1.0,Carpet of Flowers,U,Enchantment,6.49,4.36,6.63,4.8,11.32,0.71,72224.0,4.7,{G},"At the beginning of each of your main phases, if you haven’t added mana with this ability this turn, you may add X mana of any one color, where X is the number of Islands target opponent controls.",,https://scryfall.com/card/who/229/carpet-of-flowers
97,3.0,Setessan Champion,R,Creature,1.49,0.65,1.47,1.1,0.02,0.36,71571.0,4.6,{2}{G},"Constellation— Whenever an enchantment enters the battlefield under your control, put a +1/+1 counter on Setessan Champion and draw a card.",1/3,https://scryfall.com/card/woc/132/setessan-champion
98,4.0,Triumph of the Hordes,R,Sorcery,16.99,11.73,18.42,11.57,0.03,1.6,71420.0,4.6,{2}{G}{G},"Until end of turn, creatures you control get +1/+1 and gain trample and infect.(Creatures with infect deal damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)",,https://scryfall.com/card/sld/445/triumph-of-the-hordes
99,5.0,Ohran Frostfang,R,Creature,4.99,4.36,5.15,5.39,2.71,0.53,71136.0,4.6,{3}{G}{G},"Attacking creatures you control have deathtouch.Whenever a creature you control deals combat damage to a player, draw a card.",2/6,https://scryfall.com/card/cmm/309/ohran-frostfang
